,Price,Year,Month,Day,MA_7,MA_30,MA_90,Daily_Change,Pct_Change
2017-09-17,55.619998931884766,2017,9,6,55.08571406773159,53.20766665140788,50.66322220696343,0.0,0.0
2017-09-18,55.47999954223633,2017,9,0,55.31999969482422,53.29966659545899,50.76833330790202,-0.1399993896484375,-0.2517069261721683
2017-09-19,55.13999938964844,2017,9,1,55.44428525652204,53.380333201090494,50.882999971177846,-0.3400001525878906,-0.6128337335854717
2017-09-20,56.290000915527344,2017,9,2,55.6057139805385,53.53466657002767,51.005999967787,1.1500015258789062,2.085603080537579
2017-09-21,56.43000030517578,2017,9,3,55.74285670689174,53.686666615804036,51.12699996100532,0.1399993896484375,0.2487109386594799
2017-09-22,56.86000061035156,2017,9,4,55.91999980381557,53.82966664632161,51.25277773539225,0.43000030517578125,0.7620065618471061
2017-09-23,56.86000061035156,2017,9,5,56.0971429007394,53.990333302815756,51.37855550977919,0.0,0.0
2017-09-24,56.86000061035156,2017,9,6,56.27428599766323,54.1386666615804,51.501111051771375,0.0,0.0
2017-09-25,59.02000045776367,2017,9,0,56.780000414167134,54.359000015258786,51.638555484347876,2.1599998474121094,3.7988037710623423
2017-09-26,58.43999862670898,2017,9,1,57.25142887660435,54.55999997456868,51.762222120496965,-0.5800018310546946,-0.9827208176146351
2017-09-27,57.900001525878906,2017,9,2,57.481428963797434,54.7603333791097,51.87866660224067,-0.539997100830071,-0.9240197014366069
2017-09-28,57.40999984741211,2017,9,3,57.62142889840262,54.94066670735677,51.984111065334744,-0.4900016784667969,-0.846289577812509
2017-09-29,57.540000915527344,2017,9,4,57.71857179914202,55.163333384195965,52.09099998474121,0.13000106811523438,0.22644324762368662
2017-09-30,57.540000915527344,2017,9,5,57.81571469988142,55.3353333791097,52.197888904147675,0.0,0.0
2017-10-01,57.540000915527344,2017,10,6,57.91285760062082,55.5093334197998,52.2852222442627,0.0,0.0
2017-10-02,56.119998931884766,2017,10,0,57.4985716683524,55.636000061035155,52.35677778455946,-1.4200019836425781,-2.46785186139854
2017-10-03,56.0,2017,10,1,57.1500004359654,55.75866673787435,52.447999996609155,-0.11999893188476562,-0.21382561327275562
2017-10-04,55.79999923706055,2017,10,2,56.85000010899135,55.87466672261556,52.53344442579481,-0.20000076293945312,-0.35714421953473297
2017-10-05,57.0,2017,10,3,56.79142870221819,55.99533335367838,52.647777769300674,1.2000007629394531,2.150539031087395
2017-10-06,55.619998931884766,2017,10,4,56.51714270455496,56.042666625976565,52.74677776760525,-1.3800010681152344,-2.4210545054653254
2017-10-07,55.619998931884766,2017,10,5,56.24285670689174,56.0803332010905,52.84577776590983,0.0,0.0
2017-10-08,55.619998931884766,2017,10,6,55.968570709228516,56.14166653951009,52.94288885328505,0.0,0.0
2017-10-09,55.790000915527344,2017,10,0,55.92142813546317,56.20866661071777,53.0347777472602,0.17000198364257812,0.305649023565735
2017-10-10,56.61000061035156,2017,10,1,56.008571079799104,56.30300000508626,53.13333329094781,0.8199996948242188,1.4697968836132391
2017-10-11,56.93999862670898,2017,10,2,56.17142813546317,56.40633328755697,53.227999962700736,0.32999801635741477,0.5829323667187358
2017-10-12,56.25,2017,10,3,56.06428527832031,56.47233327229818,53.309555519951715,-0.6899986267089773,-1.2117995141385896
2017-10-13,57.16999816894531,2017,10,4,56.28571374075754,56.539333216349284,53.401333279079864,0.9199981689453125,1.6355523003472205
2017-10-14,57.16999816894531,2017,10,5,56.50714220319475,56.59599978129069,53.493111038208006,0.0,0.0
2017-10-15,57.16999816894531,2017,10,6,56.72857066563198,56.647666422526044,53.59033326043023,0.0,0.0
2017-10-16,57.81999969482422,2017,10,0,57.01857049124582,56.72099978129069,53.690111033121745,0.6500015258789062,1.1369626494618146
2017-10-17,57.880001068115234,2017,10,1,57.199999128069194,56.796333185831706,53.780999925401474,0.060001373291015625,0.10377269734989092
2017-10-18,58.150001525878906,2017,10,2,57.372856685093474,56.88533325195313,53.87933328416612,0.2700004577636719,0.4664831596079777
2017-10-19,57.22999954223633,2017,10,3,57.51285661969866,56.954999923706055,53.98122215270996,-0.9200019836425781,-1.5821185889963285
2017-10-20,57.75,2017,10,4,57.59571402413504,57.00366655985514,54.088888804117836,0.5200004577636719,0.90861517023062
2017-10-21,57.75,2017,10,5,57.67857142857143,57.04766654968262,54.19655545552572,0.0,0.0
2017-10-22,57.75,2017,10,6,57.76142883300781,57.07733319600423,54.298222139146596,0.0,0.0
2017-10-23,57.369998931884766,2017,10,0,57.697143009730745,57.09433314005534,54.37788878546821,-0.3800010681152344,-0.6580105075588483
2017-10-24,58.33000183105469,2017,10,1,57.76142883300781,57.143333180745444,54.45966657002767,0.9600028991699219,1.6733535245655684
2017-10-25,58.43999862670898,2017,10,2,57.802856990269255,57.123999786376956,54.53688875834147,0.10999679565428977,0.1885767052997478
2017-10-26,59.29999923706055,2017,10,3,58.098571232386995,57.15266647338867,54.61222207811144,0.8600006103515696,1.471595877071974
2017-10-27,60.43999862670898,2017,10,4,58.48285675048828,57.23733304341634,54.70022205776638,1.1399993896484304,1.9224273259955904
2017-10-28,60.43999862670898,2017,10,5,58.86714226858957,57.33833300272624,54.788222037421335,0.0,0.0
2017-10-29,60.43999862670898,2017,10,6,59.25142778669085,57.43499959309896,54.87477756076389,0.0,0.0
2017-10-30,60.900001525878906,2017,10,0,59.75571387154715,57.54699961344401,54.96666645473904,0.460002899169929,0.7610901879912424
2017-10-31,61.369998931884766,2017,10,1,60.18999917166574,57.674666213989255,55.06677754720052,0.4699974060058594,0.771752699884809
2017-11-01,61.290000915527344,2017,11,2,60.597142355782644,57.84699961344401,55.16988868713379,-0.07999801635742188,-0.13035362188325017
2017-11-02,60.619998931884766,2017,11,3,60.78571374075754,58.00099957784017,55.260999806722005,-0.6700019836425781,-1.0931668683869078
2017-11-03,62.06999969482422,2017,11,4,61.018571036202566,58.209999593098956,55.368222045898435,1.4500007629394531,2.391951152240601
2017-11-04,62.06999969482422,2017,11,5,61.2514283316476,58.37899958292643,55.47544428507487,0.0,0.0
2017-11-05,62.06999969482422,2017,11,6,61.48428562709263,58.59399960835775,55.58322207132975,0.0,0.0
2017-11-06,64.2699966430664,2017,11,0,61.96571350097656,58.88233286539714,55.71799981858995,2.1999969482421875,3.5443804721423833
2017-11-07,63.68999862670898,2017,11,1,62.29714202880859,59.15133285522461,55.84011090596517,-0.579998016357429,-0.9024397800711625
2017-11-08,63.4900016784668,2017,11,2,62.61142785208565,59.40799954732259,55.968888685438365,-0.1999969482421804,-0.3140162545996805
2017-11-09,63.93000030517578,2017,11,3,63.08428519112722,59.65199953715007,56.10033315022786,0.4399986267089844,0.693020341907169
2017-11-10,63.52000045776367,2017,11,4,63.29142815726143,59.87133293151855,56.22722206115723,-0.4099998474121094,-0.6413262090645078
2017-11-11,63.52000045776367,2017,11,5,63.49857112339564,60.11366628011068,56.35411097208659,0.0,0.0
2017-11-12,63.52000045776367,2017,11,6,63.70571408952985,60.32533302307129,56.49622209337023,0.0,0.0
2017-11-13,63.15999984741211,2017,11,0,63.5471431187221,60.52499974568685,56.63355543348524,-0.3600006103515625,-0.5667515865194872
2017-11-14,62.209999084472656,2017,11,1,63.335714612688335,60.692999776204424,56.76622208489312,-0.9500007629394531,-1.5041177410300088
2017-11-15,61.869998931884766,2017,11,2,63.1042856488909,60.82799975077311,56.886666531032986,-0.3400001525878906,-0.5465361800218282
2017-11-16,61.36000061035156,2017,11,3,62.737142835344585,60.943999735514325,56.9826665242513,-0.5099983215332031,-0.8243063364114178
2017-11-17,62.720001220703125,2017,11,4,62.62285723005022,61.09633305867513,57.093777635362414,1.3600006103515625,2.2164286128154354
2017-11-18,62.720001220703125,2017,11,5,62.50857162475586,61.27933311462402,57.20488874647352,0.0,0.0
2017-11-19,62.720001220703125,2017,11,6,62.3942860194615,61.444999821980794,57.3277776506212,0.0,0.0
2017-11-20,62.220001220703125,2017,11,0,62.26000050136021,61.5939998626709,57.442777676052515,-0.5,-0.7971938620354391
2017-11-21,62.56999969482422,2017,11,1,62.31142915998186,61.75466651916504,57.55388878716363,0.34999847412109375,0.5625176265741327
2017-11-22,63.31999969482422,2017,11,2,62.51857212611607,61.952999877929685,57.679222106933594,0.75,1.1986575094422358
2017-11-23,63.31999969482422,2017,11,3,62.79857199532645,62.11933314005534,57.8004443274604,0.0,0.0
2017-11-24,63.86000061035156,2017,11,4,62.96142905099051,62.29999987284342,57.92766655815972,0.5400009155273438,0.8528125681142251
2017-11-25,63.86000061035156,2017,11,5,63.12428610665457,62.45199991861979,58.05488878885905,0.0,0.0
2017-11-26,63.86000061035156,2017,11,6,63.287143162318635,62.56599998474121,58.18788880242242,0.0,0.0
2017-11-27,63.84000015258789,2017,11,0,63.51857158115932,62.67933336893717,58.3194443596734,-0.020000457763671875,-0.03131922576341539
