ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
2016-03-20,41.336571939056746,33.27384898117597,46.194870669343416,41.336571939056746,41.336571939056746,-1.884851878086711,-1.884851878086711,-1.884851878086711,0.08290859841460937,0.08290859841460937,0.08290859841460937,-1.9677604765013204,-1.9677604765013204,-1.9677604765013204,0.0,0.0,0.0,39.45172006097003
2016-03-21,41.368464954440064,33.329512494998546,45.50764911194352,41.368464954440064,41.368464954440064,-2.1141850796180544,-2.1141850796180544,-2.1141850796180544,-0.038529610515466814,-0.038529610515466814,-0.038529610515466814,-2.0756554691025877,-2.0756554691025877,-2.0756554691025877,0.0,0.0,0.0,39.25427987482201
2016-03-22,41.400357969823375,32.775924031314396,45.56392623041456,41.400357969823375,41.400357969823375,-2.244580531101193,-2.244580531101193,-2.244580531101193,-0.09144544768250518,-0.09144544768250518,-0.09144544768250518,-2.1531350834186873,-2.1531350834186873,-2.1531350834186873,0.0,0.0,0.0,39.15577743872218
2016-03-23,41.432250985206686,32.79715778619663,45.605504011934656,41.432250985206686,41.432250985206686,-2.304218867202822,-2.304218867202822,-2.304218867202822,-0.10490619201521456,-0.10490619201521456,-0.10490619201521456,-2.1993126751876075,-2.1993126751876075,-2.1993126751876075,0.0,0.0,0.0,39.128032118003865
2016-03-24,41.464144000590004,32.9650653251301,45.36918999765291,41.464144000590004,41.464144000590004,-2.2504218290417675,-2.2504218290417675,-2.2504218290417675,-0.03646710694503371,-0.03646710694503371,-0.03646710694503371,-2.2139547220967337,-2.2139547220967337,-2.2139547220967337,0.0,0.0,0.0,39.213722171548234
2016-03-25,41.496037015973315,33.094105443296726,45.800369286138384,41.496037015973315,41.496037015973315,-2.099553579085915,-2.099553579085915,-2.099553579085915,0.09792897936108144,0.09792897936108144,0.09792897936108144,-2.1974825584469966,-2.1974825584469966,-2.1974825584469966,0.0,0.0,0.0,39.3964834368874
2016-03-26,41.52793003135663,33.01781479386065,45.97915372249882,41.52793003135663,41.52793003135663,-2.060448119060267,-2.060448119060267,-2.060448119060267,0.09051077938258448,0.09051077938258448,0.09051077938258448,-2.150958898442852,-2.150958898442852,-2.150958898442852,0.0,0.0,0.0,39.467481912296364
2016-03-27,41.55982304673994,33.09917301669181,45.99302879924512,41.55982304673994,41.55982304673994,-1.9931508818541896,-1.9931508818541896,-1.9931508818541896,0.08290859841459432,0.08290859841459432,0.08290859841459432,-2.0760594802687837,-2.0760594802687837,-2.0760594802687837,0.0,0.0,0.0,39.56667216488575
2016-03-28,41.59171606212326,33.135421289073896,46.276357197191835,41.59171606212326,41.59171606212326,-2.013560143353529,-2.013560143353529,-2.013560143353529,-0.03852961051561853,-0.03852961051561853,-0.03852961051561853,-1.9750305328379105,-1.9750305328379105,-1.9750305328379105,0.0,0.0,0.0,39.57815591876973
2016-03-29,41.62360907750658,33.77728570338147,45.95767713140811,41.62360907750658,41.62360907750658,-1.9420785668026208,-1.9420785668026208,-1.9420785668026208,-0.09144544768257737,-0.09144544768257737,-0.09144544768257737,-1.8506331191200434,-1.8506331191200434,-1.8506331191200434,0.0,0.0,0.0,39.68153051070396
2016-03-30,41.65550209288989,33.891206866239884,46.476628448450604,41.65550209288989,41.65550209288989,-1.8109819270953653,-1.8109819270953653,-1.8109819270953653,-0.10490619201538738,-0.10490619201538738,-0.10490619201538738,-1.7060757350799778,-1.7060757350799778,-1.7060757350799778,0.0,0.0,0.0,39.84452016579453
2016-03-31,41.6873951082732,33.61096233314522,46.32955066738213,41.6873951082732,41.6873951082732,-1.581403939979777,-1.581403939979777,-1.581403939979777,-0.03646710694498171,-0.03646710694498171,-0.03646710694498171,-1.5449368330347952,-1.5449368330347952,-1.5449368330347952,0.0,0.0,0.0,40.10599116829342
2016-04-01,41.71928812365652,34.482020727152445,47.040976454732146,41.71928812365652,41.71928812365652,-1.2731502057702708,-1.2731502057702708,-1.2731502057702708,0.0979289793612419,0.0979289793612419,0.0979289793612419,-1.3710791851315127,-1.3710791851315127,-1.3710791851315127,0.0,0.0,0.0,40.44613791788625
2016-04-02,41.75118113903983,34.84887958861144,46.769590080801954,41.75118113903983,41.75118113903983,-1.0980474208828785,-1.0980474208828785,-1.0980474208828785,0.09051077938256993,0.09051077938256993,0.09051077938256993,-1.1885582002654487,-1.1885582002654487,-1.1885582002654487,0.0,0.0,0.0,40.65313371815695
2016-04-03,41.78307415442314,34.466406591806994,46.96378129094585,41.78307415442314,41.78307415442314,-0.9186178525970723,-0.9186178525970723,-0.9186178525970723,0.08290859841447387,0.08290859841447387,0.08290859841447387,-1.001526451011546,-1.001526451011546,-1.001526451011546,0.0,0.0,0.0,40.86445630182607
2016-04-04,41.81496716980646,34.79915216970139,47.5763756791451,41.81496716980646,41.81496716980646,-0.8526663629428797,-0.8526663629428797,-0.8526663629428797,-0.038529610515590756,-0.038529610515590756,-0.038529610515590756,-0.8141367524272889,-0.8141367524272889,-0.8141367524272889,0.0,0.0,0.0,40.96230080686358
2016-04-05,41.84686018518977,35.18583352164697,47.528771806232854,41.84686018518977,41.84686018518977,-0.7218916074487567,-0.7218916074487567,-0.7218916074487567,-0.09144544768239511,-0.09144544768239511,-0.09144544768239511,-0.6304461597663616,-0.6304461597663616,-0.6304461597663616,0.0,0.0,0.0,41.124968577741015
2016-04-06,41.87875320057309,34.97319319927597,47.458579247000024,41.87875320057309,41.87875320057309,-0.5592294087715471,-0.5592294087715471,-0.5592294087715471,-0.10490619201524656,-0.10490619201524656,-0.10490619201524656,-0.4543232167563005,-0.4543232167563005,-0.4543232167563005,0.0,0.0,0.0,41.31952379180154
2016-04-07,41.910646215956405,35.31361930916767,47.75458670468164,41.910646215956405,41.910646215956405,-0.32582779819502783,-0.32582779819502783,-0.32582779819502783,-0.036467106944796365,-0.036467106944796365,-0.036467106944796365,-0.28936069125023145,-0.28936069125023145,-0.28936069125023145,0.0,0.0,0.0,41.584818417761376
2016-04-08,41.942539231339715,35.90461999927885,48.08043138447505,41.942539231339715,41.942539231339715,-0.040866904087551115,-0.040866904087551115,-0.040866904087551115,0.09792897936123542,0.09792897936123542,0.09792897936123542,-0.13879588344878654,-0.13879588344878654,-0.13879588344878654,0.0,0.0,0.0,41.901672327252165
2016-04-09,41.97443224672303,35.51814589441657,48.4326661595562,41.97443224672303,41.97443224672303,0.08507039171091361,0.08507039171091361,0.08507039171091361,0.09051077938255538,0.09051077938255538,0.09051077938255538,-0.00544038767164176,-0.00544038767164176,-0.00544038767164176,0.0,0.0,0.0,42.05950263843395
2016-04-10,42.006325262106344,35.81702111300515,48.665060320029156,42.006325262106344,42.006325262106344,0.19128766095735866,0.19128766095735866,0.19128766095735866,0.08290859841461236,0.08290859841461236,0.08290859841461236,0.10837906254274629,0.10837906254274629,0.10837906254274629,0.0,0.0,0.0,42.1976129230637
2016-04-11,42.038218277489655,35.5908095968625,48.90107779142653,42.038218277489655,42.038218277489655,0.16233771715616,0.16233771715616,0.16233771715616,-0.03852961051563044,-0.03852961051563044,-0.03852961051563044,0.2008673276717904,0.2008673276717904,0.2008673276717904,0.0,0.0,0.0,42.20055599464582
